Ticker ,Name ,Market cap 
RICOAUTO,Rico Auto Industries Limited,"1,530.61"
ALGOQUANT,Algoquant Fintech Limited,"1,527.20"
VIDHIING,Vidhi Specialty Food Ingredients Limited,"1,511.12"
PRECAM,Precision Camshafts Limited,"1,510.27"
BHARATWIRE,Bharat Wire Ropes Limited,"1,509.55"
NAVKARCORP,Navkar Corporation Limited,"1,508.97"
GOCOLORS,Go Fashion (India) Limited,"1,504.25"
RACLGEAR,RACL Geartech Limited,"1,500.62"
KALAMANDIR,Sai Silks (Kalamandir) Limited,"1,497.66"
GREENPOWER,Orient Green Power Company Limited,"1,475.64"
SULA,Sula Vineyards Limited,"1,474.45"
IRMENERGY,IRM Energy Limited,"1,466.57"
SURAKSHA,Suraksha Diagnostic Limited,"1,463.83"
APEX,Apex Frozen Foods Limited,"1,458.75"
SHRIRAMPPS,Shriram Properties Limited,"1,453.98"
DIGITIDE,Digitide Solutions Limited,"1,450.03"
ALLCARGO,Allcargo Logistics Limited,"1,449.86"
AWHCL,Antony Waste Handling Cell Limited,"1,446.39"
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,"1,444.49"
SHANTIGOLD,Shanti Gold International Limited,"1,441.92"
JAGRAN,Jagran Prakashan Limited,"1,435.87"
ASIANENE,Asian Energy Services Limited,"1,434.53"
GPTINFRA,GPT Infraprojects Limited,"1,433.99"
SPIC,Southern Petrochemicals Industries Corporation Limited,"1,432.61"
IVALUE,Ivalue Infosolutions Limited,"1,419.61"
ONEPOINT,One Point One Solutions Limited,"1,417.49"
WEL,Wonder Electricals Limited,"1,416.44"
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,"1,412.41"
SMCGLOBAL,SMC Global Securities Limited,"1,402.98"
SAKAR,Sakar Healthcare Limited,"1,397.41"
WENDT,Wendt (India) Limited,"1,396.57"
SOLEX,Solex Energy Limited,"1,395.68"
MAHASTEEL,Mahamaya Steel Industries Limited,"1,394.79"
EASEMYTRIP,Easy Trip Planners Limited,"1,394.19"
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,"1,392.77"
CLSEL,Chaman Lal Setia Exports Limited,"1,392.32"
DCW,DCW Limited,"1,390.48"
PASHUPATI,Pashupati Cotspin Limited,"1,389.78"
DSSL,Dynacons Systems & Solutions Limited,"1,386.11"
HESTERBIO,Hester Biosciences Limited,"1,382.37"
UFBL,United Foodbrands Limited,"1,374.94"
IFGLEXPOR,IFGL Refractories Limited,"1,372.98"
SIGNPOST,Signpost India Limited,"1,371.08"
NGLFINE,NGL Fine-Chem Limited,"1,368.12"
AYMSYNTEX,AYM Syntex Limited,"1,366.76"
DOLATALGO,Dolat Algotech Limited,"1,364.00"
ATULAUTO,Atul Auto Limited,"1,362.59"
MOTISONS,Motisons Jewellers Limited,"1,362.39"
STLNETWORK,STL Networks Limited,"1,362.09"
HUHTAMAKI,Huhtamaki India Limited,"1,355.69"
GANDHAR,Gandhar Oil Refinery (India) Limited,"1,355.03"
PNGSREVA,PNGS Reva Diamond Jewellery Limited,"1,353.52"
BETA,Beta Drugs Limited,"1,348.31"
EKC,Everest Kanto Cylinder Limited,"1,338.19"
ANDHRSUGAR,The Andhra Sugars Limited,"1,328.25"
HARDWYN,Hardwyn India Limited,"1,328.05"
IGPL,IG Petrochemicals Limited,"1,323.25"
DEN,Den Networks Limited,"1,321.59"
TINNARUBR,Tinna Rubber and Infrastructure Limited,"1,296.59"
VENUSREM,Venus Remedies Limited,"1,293.12"
LGHL,Laxmi Goldorna House Limited,"1,292.89"
PLATIND,Platinum Industries Limited,"1,291.78"
SYNCOMF,Syncom Formulations (India) Limited,"1,291.56"
SALASAR,Salasar Techno Engineering Limited,"1,289.99"
BLKASHYAP,B. L. Kashyap and Sons Limited,"1,288.62"
PNBGILTS,PNB Gilts Limited,"1,278.07"
TTKHLTCARE,TTK Healthcare Limited,"1,277.52"
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,"1,277.34"
ASIANHOTNR,Asian Hotels (North) Limited,"1,276.87"
UNITECH,Unitech Limited,"1,271.52"
CAPITALSFB,Capital Small Finance Bank Limited,"1,269.73"
ORIENTTECH,Orient Technologies Limited,"1,261.95"
EXPLEOSOL,Expleo Solutions Limited,"1,259.66"
ICEMAKE,Ice Make Refrigeration Limited,"1,258.67"
AQYLON,Aqylon Nexus Limited,"1,253.43"
IMPAL,India Motor Parts and Accessories Limited,"1,253.12"
ALLDIGI,Alldigi Tech Limited,"1,250.60"
MOL,Meghmani Organics Limited,"1,248.68"
STEELXIND,STEEL EXCHANGE INDIA LIMITED,"1,247.22"
QUADFUTURE,Quadrant Future Tek Limited,"1,243.60"
NELCAST,Nelcast Limited,"1,236.98"
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"1,234.89"
IKIO,IKIO Technologies Limited,"1,219.83"
HMAAGRO,HMA Agro Industries Limited,"1,218.37"
IGARASHI,Igarashi Motors India Limited,"1,217.59"
MIRCELECTR,MIRC Electronics Limited,"1,216.80"
RUPA,Rupa & Company Limited,"1,215.93"
BALAJITELE,Balaji Telefilms Limited,"1,205.03"
PARACABLES,Paramount Communications Limited,"1,203.44"
EXCELINDUS,Excel Industries Limited,"1,200.69"
DHANBANK,Dhanlaxmi Bank Limited,"1,199.49"
INDSWFTLAB,Ind-Swift Laboratories Limited,"1,194.35"
ARIHANTSUP,Arihant Superstructures Limited,"1,190.08"
KROSS,Kross Limited,"1,188.86"
BHARATSE,Bharat Seats Limited,"1,180.64"
RIIL,Reliance Industrial Infrastructure Limited,"1,178.03"
RAJRILTD,Raj Rayon Industries Limited,"1,173.89"
TARSONS,Tarsons Products Limited,"1,168.75"
MONTECARLO,Monte Carlo Fashions Limited,"1,164.42"
HITECHGEAR,The Hi-Tech Gears Limited,"1,161.83"
PAUSHAKLTD,Paushak Limited,"1,158.51"
MANAKCOAT,Manaksia Coated Metals & Industries Limited,"1,157.29"
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,"1,155.05"
SALZERELEC,Salzer Electronics Limited,"1,154.77"
SRM,SRM Contractors Limited,"1,153.41"
ALICON,Alicon Castalloy Limited,"1,152.93"
RSL,Rajputana Stainless Limited,"1,150.57"
CENTRUM,Centrum Capital Limited,"1,144.99"
CIFL,Capital India Finance Limited,"1,134.49"
JINDALPHOT,Jindal Photo Limited,"1,132.62"
GPTHEALTH,GPT Healthcare Limited,"1,128.25"
MACPOWER,Macpower CNC Machines Limited,"1,128.07"
GULPOLY,Gulshan Polyols Limited,"1,123.41"
GENESYS,Genesys International Corporation Limited,"1,122.87"
ARIS,Arisinfra Solutions Limited,"1,120.63"
HIMATSEIDE,Himatsingka Seide Limited,"1,116.47"
DIFFNKG,Diffusion Engineers Limited,"1,115.20"
SURAJEST,Suraj Estate Developers Limited,"1,113.28"
